fips,start,end,aet,cwd
1049,2012,2016,656.1075678,560.9110665
20205,1950,1980,546.4713227,720.61067190000006
20205,1982,2011,567.0589446,649.3714243
20205,2007,2011,585.7990401,615.662629
20205,2012,2016,552.8654821,680.4542008
5007,1950,1980,632.34261,617.234099
5007,1982,2011,644.2619573,587.2870455
5007,2007,2011,658.7913629,562.4504481
5007,2012,2016,616.6944925,624.3817132
26041,1950,1980,450.1777982,375.6575336
26041,1982,2011,437.3721693,373.0597394
26041,2007,2011,398.2751943,407.9694494
26041,2012,2016,432.2300724,357.9965551
42001,1950,1980,526.3862599,553.6508594
42001,1982,2011,541.6217036,534.8654737
42001,2007,2011,553.6632739,521.4281902
42001,2012,2016,570.5742332,498.3973129
54037,1950,1980,590.0378702,568.8489729
54037,1982,2011,593.6398906,561.3642547
54037,2007,2011,578.3258179,585.9683973
54037,2012,2016,596.1088967,554.0493046
56033,1950,1980,325.3114811,718.5971598
56033,1982,2011,347.1480668,714.3632805
56033,2007,2011,354.3077814,693.6176026
56033,2012,2016,340.3019919,754.3151987
51520,1950,1980,653.5400113,561.6377025
51520,1982,2011,652.2082983,560.9954057
51520,2007,2011,629.1611345,605.8075421
51520,2012,2016,662.0592209,556.4654939
5037,1950,1980,634.4897603,657.2701617
5037,1982,2011,624.1977107,615.8576187
5037,2007,2011,632.8982652,607.7892806
5037,2012,2016,617.8418617,612.3382597
35045,1950,1980,196.3364032,1132.914933
35045,1982,2011,219.9887721,1107.967857
35045,2007,2011,194.9169469,1133.179706
35045,2012,2016,199.4351202,1157.693489
28089,1950,1980,723.7979398,706.5123616
28089,1982,2011,743.3980746,655.1862047
28089,2007,2011,741.8179552,664.7508724
28089,2012,2016,720.3995654,671.9839709
42131,1950,1980,558.6693103,431.7152054
42131,1982,2011,574.3937434,421.6941508
42131,2007,2011,582.8794035,423.6354044
42131,2012,2016,555.8517506,456.6156343
46067,1950,1980,397.1035733,681.9749671
46067,1982,2011,404.237806,639.8104768
46067,2007,2011,436.5947737,596.2895181
46067,2012,2016,405.789258,668.5862711
5079,1950,1980,678.8862495,686.9147641
5079,1982,2011,665.1978879,658.0291239
5079,2007,2011,681.0812921,635.9503323
5079,2012,2016,659.9262732,634.56993
37147,1950,1980,707.0090206,598.9679531
37147,1982,2011,688.3814911,595.5599734
37147,2007,2011,661.9898605,635.9780353
37147,2012,2016,778.8766513,469.2961199
48447,1950,1980,468.1710772,1025.720477
48447,1982,2011,477.3243149,988.4529167
48447,2007,2011,425.750249,1061.759209
48447,2012,2016,484.0002338,1005.701679
48063,1950,1980,600.9281102,829.8352585
48063,1982,2011,613.9476584,805.4676388
48063,2007,2011,633.2404786,785.7419046
48063,2012,2016,568.2309491,852.8801952
37139,1950,1980,689.6291162,510.637462
37139,1982,2011,693.3213307,529.9955623
37139,2007,2011,668.3361449,574.5619522
37139,2012,2016,757.3062113,448.9978754
27169,1950,1980,448.3212792,454.5229702
27169,1982,2011,467.8215842,422.0552755
27169,2007,2011,456.5699675,426.5793775
27169,2012,2016,477.2452955,407.9591642
32017,1950,1980,173.2454312,1228.033983
32017,1982,2011,184.8513402,1210.549097
32017,2007,2011,142.2189029,1256.898133
32017,2012,2016,194.1744997,1231.480218
25025,1950,1980,NA,NA
25025,1982,2011,NA,NA
25025,2007,2011,NA,NA
25025,2012,2016,NA,NA
33019,1950,1980,475.3462001,454.9523331
33019,1982,2011,505.4428804,430.282864
33019,2007,2011,514.5694014,413.5795238
33019,2012,2016,495.4227021,457.8974195
37113,1950,1980,NA,NA
37113,1982,2011,NA,NA
37113,2007,2011,NA,NA
37113,2012,2016,NA,NA
17079,1950,1980,597.6063958,547.8280537
17079,1982,2011,613.9142321,497.2864349
17079,2007,2011,640.6885216,482.9945001
17079,2012,2016,601.8448497,515.8831006
48243,1950,1980,NA,NA
48243,1982,2011,NA,NA
48243,2007,2011,NA,NA
48243,2012,2016,NA,NA
27019,1950,1980,477.9632207,449.0678096
27019,1982,2011,491.3201733,422.5774556
27019,2007,2011,441.7431029,448.9039764
27019,2012,2016,500.0493564,400.3863271
18067,1950,1980,599.0279725,437.5074077
18067,1982,2011,621.4016073,394.3543125
18067,2007,2011,638.6769869,391.6224188
18067,2012,2016,617.4532643,405.0399105
36037,1950,1980,482.2263297,447.0439281
36037,1982,2011,524.0889105,392.9579129
36037,2007,2011,531.0754859,381.3391271
36037,2012,2016,531.2531726,405.2484743
6093,1950,1980,215.6537178,961.6561523
6093,1982,2011,229.2180498,965.812148
6093,2007,2011,213.045601,973.7963029
6093,2012,2016,217.186976,1027.966908
30075,1950,1980,270.0552913,791.1346825
30075,1982,2011,282.0060078,787.2733561
30075,2007,2011,322.9086334,728.0219223
30075,2012,2016,305.0694206,805.1877533
51185,1950,1980,628.4934101,463.9392804
51185,1982,2011,636.9297417,437.2176138
51185,2007,2011,627.1463723,450.2295123
51185,2012,2016,647.5133106,409.5473326
5109,1950,1980,660.486491,742.2155921
5109,1982,2011,665.5842018,716.0432526
5109,2007,2011,655.6491874,736.4501764
5109,2012,2016,658.7981569,724.1824737
13197,1950,1980,726.4407762,698.2592109
13197,1982,2011,705.4905596,710.3684562
13197,2007,2011,640.2391318,784.3090925
13197,2012,2016,677.0846563,734.4092496
8067,1950,1980,271.112036,940.7999932
8067,1982,2011,292.0689177,918.319386
8067,2007,2011,266.0664621,945.1315561
8067,2012,2016,284.7819582,957.9685296
46047,1950,1980,343.3636283,815.2085968
46047,1982,2011,358.4200099,792.9547913
46047,2007,2011,359.362495,785.3052209
46047,2012,2016,373.2636184,804.1890393
31003,1950,1980,413.0171155,671.2912636
31003,1982,2011,434.2948783,619.0724827
31003,2007,2011,466.9586959,559.344931
31003,2012,2016,436.8838467,644.0749741
48361,1950,1980,725.5372029,656.7809483
48361,1982,2011,767.5981083,582.4824615
48361,2007,2011,745.9775859,610.6701241
48361,2012,2016,797.9060476,540.2186767
16065,1950,1980,271.0325317,722.0298968
16065,1982,2011,285.6701228,697.2267135
16065,2007,2011,278.6946661,677.0161497
16065,2012,2016,274.0799577,726.5479477
51079,1950,1980,573.7716071,589.2109262
51079,1982,2011,585.4189772,568.4143494
51079,2007,2011,571.1926349,584.5687195
51079,2012,2016,623.3798123,499.8261439
39001,1950,1980,642.8729533,478.7066248
39001,1982,2011,627.2554293,480.36273
39001,2007,2011,628.0251841,492.435272
39001,2012,2016,635.8474222,477.3221908
22009,1950,1980,720.198339,717.4488994
22009,1982,2011,734.5536167,667.844702
22009,2007,2011,702.7836126,728.6180449
22009,2012,2016,739.5898649,660.2685057
29219,1950,1980,544.7659023,648.0133547
29219,1982,2011,567.1824481,587.2646471
29219,2007,2011,601.4500554,532.853187
29219,2012,2016,575.209895,581.4964573
33007,1950,1980,508.1753643,336.9456122
33007,1982,2011,535.2806665,301.2366505
33007,2007,2011,556.8156463,270.2925827
33007,2012,2016,539.8633426,309.6730077
42013,1950,1980,602.3399112,413.6291509
42013,1982,2011,613.8055974,393.8346783
42013,2007,2011,642.0011606,373.2300882
42013,2012,2016,627.9042735,387.7351216
28075,1950,1980,755.6944759,663.8840722
28075,1982,2011,786.1488928,632.9443804
28075,2007,2011,781.1824173,661.9436004
28075,2012,2016,766.6082741,650.0986232
13003,1950,1980,791.3083747,705.5369669
13003,1982,2011,778.1100691,726.5561609
13003,2007,2011,725.9979828,789.1407932
13003,2012,2016,743.790006,731.929022
29081,1950,1980,512.2682659,591.003592
29081,1982,2011,535.5330852,521.7139196
29081,2007,2011,573.772696,456.8701376
29081,2012,2016,544.0037351,520.4617617
31153,1950,1980,469.2915333,606.9505023
31153,1982,2011,473.1650136,571.4342127
31153,2007,2011,518.584188,510.0615026
